Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Rocksmith 2014 Edition Remastered,PS4,2016,Misc,Ubisoft,0.01,0.0,0.0,0.0,0.02
Darius Burst: Chronicle Saviours,PSV,2016,Action,Kadokawa Games,0.0,0.0,0.03,0.0,0.03
Terraria,WiiU,2016,Action,505 Games,0.0,0.03,0.0,0.0,0.03
NBA 2K17,PS3,2016,Sports,Take-Two Interactive,0.06,0.04,0.0,0.02,0.13
Pro Evolution Soccer 2017,PS3,2016,Sports,Konami Digital Entertainment,0.01,0.05,0.06,0.01,0.13
Batman: A Telltale Game Series,XOne,2016,Adventure,Telltale Games,0.02,0.01,0.0,0.0,0.03
Medabots Girls Mission: Metabee Ver. / Rokusho Ver.,3DS,2016,Role-Playing,Rocket Company,0.0,0.0,0.03,0.0,0.03
Mark McMorris Infinite Air,PS4,2016,Sports,FuRyu Corporation,0.01,0.0,0.0,0.0,0.02
Worms: WMD,PS4,2016,Action,Sold Out,0.01,0.02,0.0,0.0,0.03
Ao no Kanata no Four Rhythm,PSV,2016,Adventure,Unknown,0.0,0.0,0.03,0.0,0.03
Assassin's Creed Chronicles,XOne,2016,Action,Ubisoft,0.0,0.01,0.0,0.0,0.01
7 Days to Die,PS4,2016,Action,Telltale Games,0.04,0.08,0.0,0.02,0.14
Dead Island Definitive Collection,PS4,2016,Action,Deep Silver,0.03,0.07,0.01,0.02,0.14
Mighty No. 9,WiiU,2016,Platform,Deep Silver,0.02,0.01,0.0,0.0,0.03
Attack on Titan (KOEI),PSV,2016,Action,Tecmo Koei,0.0,0.0,0.13,0.0,0.13
Resident Evil 6,PS4,2016,Shooter,Capcom,0.06,0.0,0.0,0.01,0.08
UEFA Euro 2016,PS3,2016,Sports,Konami Digital Entertainment,0.0,0.04,0.03,0.01,0.08
Assassin's Creed The Ezio Collection,XOne,2016,Action,Ubisoft,0.03,0.04,0.0,0.01,0.08
Sid Meier's Civilization VI,PC,2016,Strategy,Take-Two Interactive,0.09,0.13,0.0,0.02,0.25
Song of the Deep,PS4,2016,Action,Insomniac Games,0.06,0.0,0.0,0.01,0.08
Destiny: The Collection,PS4,2016,Shooter,Activision,0.05,0.15,0.0,0.04,0.24
Mega Man Legacy Collection,PS4,2016,Platform,Capcom,0.07,0.0,0.0,0.02,0.08
Guilty Gear Xrd -Revelator-,PS4,2016,Fighting,PQube,0.03,0.0,0.05,0.01,0.08
Dark Souls III,PS4,2016,Role-Playing,Namco Bandai Games,0.65,0.45,0.34,0.22,1.65
Farming Simulator 17,PC,2016,Simulation,Focus Home Interactive,0.03,0.58,0.0,0.04,0.65
LEGO Marvel's Avengers,PS4,2016,Action,Warner Bros. Interactive Entertainment,0.26,0.35,0.0,0.12,0.73
FIFA 17,PS4,2016,Sports,Electronic Arts,0.66,5.75,0.08,1.11,7.59
Pokemon Sun/Moon,3DS,2016,Role-Playing,Nintendo,2.98,1.45,2.26,0.45,7.14
WWE 2K17,PS3,2016,Sports,Take-Two Interactive,0.05,0.07,0.0,0.02,0.14
FIFA 17,PS3,2016,Sports,Electronic Arts,0.05,0.55,0.03,0.1,0.73
Collar x Malice,PSV,2016,Action,Idea Factory,0.0,0.0,0.02,0.0,0.02
NHL 17,XOne,2016,Sports,Electronic Arts,0.2,0.01,0.0,0.03,0.24
Rocket League,XOne,2016,Sports,505 Games,0.05,0.17,0.0,0.02,0.24
Titanfall 2,PC,2016,Shooter,Electronic Arts,0.03,0.04,0.0,0.01,0.08
MuvLuv Double Pack,PSV,2016,Adventure,5pb,0.0,0.0,0.02,0.0,0.02
Dynasty Warriors: Eiketsuden,PS4,2016,Action,Tecmo Koei,0.0,0.0,0.02,0.0,0.02
Koihime Enbu,PS4,2016,Fighting,Yeti,0.0,0.0,0.02,0.0,0.02
Ratchet & Clank (2016),PS4,2016,Platform,Sony Computer Entertainment,0.5,0.76,0.04,0.24,1.54
Zero Escape: Zero Time Dilemma,3DS,2016,Adventure,Aksys Games,0.05,0.0,0.02,0.01,0.08
Valentino Rossi: The Game,PS4,2016,Racing,Namco Bandai Games,0.01,0.05,0.0,0.01,0.08
